unit_id	image_name	source_molecule_id	row_index	unit_index	atoms	atom_count	bounds_x	bounds_y	bounds_w	bounds_h
p003-u157	page-003.jpg	img3-m159	20	157	e:1 h:1 e:1 c:1 h:2 e:1 f:1 l:1 f:1 i:1 d:1	11	544	2579	154	70
p003-u158	page-003.jpg	img3-m163	20	158	e:1 g:1 e:1 c:1 f:1 j:1	6	739	2611	120	34
p003-u159	page-003.jpg	img3-m160	20	159	e:1 c:1 h:2 e:1 f:1 l:1 f:1 i:1 d:1	9	899	2601	119	49
p003-u160	page-003.jpg	img3-m157	20	160	e:1 a:1 m:1 c:1 a:1 g:1 e:1 e:1 f:1 f:1 j:1	11	1059	2568	156	81
p003-u161	page-003.jpg	img3-m161	20	161	e:1 c:1 h:2 e:1 f:1 f:1 i:1 d:1	8	1255	2604	107	50
p003-u162	page-003.jpg	img3-m165	20	162	n:1 e:1 g:1 e:1 e:1 e:1 f:1 f:1 i:1 d:1	10	1403	2601	169	56
p003-u163	page-003.jpg	img3-m158	20	163	a:1 b:1 c:1 a:1 e:1 f:1 k:1 f:1 i:1 d:1	10	1617	2582	145	95
p003-u164	page-003.jpg	img3-m164	20	164	e:1 c:1 h:2 e:1 f:1 f:1 i:1 d:1	8	1799	2626	103	55
p003-u165	page-003.jpg	img3-m166	20	165	n:1 e:1 g:1 e:1 e:1 e:1 h:1	7	1938	2620	115	80
p003-u166	page-003.jpg	img3-m162	20	166	e:1 a:1 m:1 c:1 a:1 g:1 e:1 e:1 f:1 f:1 i:1 d:1	12	2093	2605	171	82
p003-u167	page-003.jpg	img3-m169	21	167	e:1 g:1 e:1 c:1	4	541	2687	87	29
p003-u168	page-003.jpg	img3-m172	21	168	c:1 a:1 b:1 c:1 a:1 e:1 f:1 k:1 f:1 i:1 d:1	11	685	2649	178	81
p003-u169	page-003.jpg	img3-m173	21	169	n:1 e:1 g:1 e:1 c:1 e:1 f:1 k:1 f:1 i:1 d:1	11	902	2671	203	61
p003-u170	page-003.jpg	img3-m174	21	170	c:1 a:1 b:1 c:1 a:1 c:1 f:1 j:1	8	1159	2655	139	83
p003-u171	page-003.jpg	img3-m171	21	171	e:1 c:1 h:2 e:1 f:1 k:1 f:1 i:1 d:1	9	1338	2692	155	54
p003-u172	page-003.jpg	img3-m167	21	172	a:1 e:1 b:1 c:1 a:1 b:1 d:1 e:1 f:1 f:1 i:1 d:1	12	1515	2669	116	86
p003-u173	page-003.jpg	img3-m168	21	173	e:1 a:1 e:1 b:1 c:1 a:1 g:1 e:1 c:1 f:1 j:1	11	1671	2682	168	90
p003-u174	page-003.jpg	img3-m175	21	174	e:1 c:1 h:2 e:1 f:1 k:1 f:1 i:1	8	1884	2720	127	48
p003-u175	page-003.jpg	img3-m170	21	175	e:1 a:1 e:1 b:1 c:1 a:1 g:1 e:1 c:1 f:1 j:1 e:1 c:1 h:2 e:1 f:1 f:1 i:1 d:1	19	2055	2691	257	94
