representation	folio	molecule_uid	source_molecule_id	sequence_length	symbol_index	observed_symbol	left_symbol	right_symbol	positional_role	local_context	context_seen_in_train	observed_in_train_vocab	probability	log_loss_bits	top1_symbol	top1_correct
ATOMS	f2r	p005-m002	img5-m3	8	5	c:1	m:1	a:1	medial	length=8|role=medial|left=m:1|right=a:1	no	yes	0.06666666666666667	3.9068905956085187	a:1	no
ATOMS	f2r	p005-m002	img5-m3	8	6	a:1	c:1	b:1	medial	length=8|role=medial|left=c:1|right=b:1	no	yes	0.06666666666666667	3.9068905956085187	a:1	yes
ATOMS	f2r	p005-m002	img5-m3	8	7	b:1	a:1	d:1	medial	length=8|role=medial|left=a:1|right=d:1	no	yes	0.06666666666666667	3.9068905956085187	a:1	no
ATOMS	f2r	p005-m003	img5-m7	6	2	g:1	e:1	e:1	medial	length=6|role=medial|left=e:1|right=e:1	no	yes	0.06666666666666667	3.9068905956085187	a:1	no
ATOMS	f2r	p005-m003	img5-m7	6	3	e:1	g:1	c:1	medial	length=6|role=medial|left=g:1|right=c:1	no	yes	0.06666666666666667	3.9068905956085187	a:1	no
ATOMS	f2r	p005-m003	img5-m7	6	4	c:1	e:1	f:1	medial	length=6|role=medial|left=e:1|right=f:1	no	yes	0.06666666666666667	3.9068905956085187	a:1	no
ATOMS	f2r	p005-m003	img5-m7	6	5	f:1	c:1	j:1	medial	length=6|role=medial|left=c:1|right=j:1	no	yes	0.06666666666666667	3.9068905956085187	a:1	no
ATOMS	f2r	p005-m004	img5-m5	9	2	c:1	e:1	h:2	medial	length=9|role=medial|left=e:1|right=h:2	no	yes	0.06666666666666667	3.9068905956085187	a:1	no
ATOMS	f2r	p005-m004	img5-m5	9	3	h:2	c:1	e:1	medial	length=9|role=medial|left=c:1|right=e:1	yes	yes	0.058823529411764705	4.087462841250339	a:1	no
ATOMS	f2r	p005-m004	img5-m5	9	4	e:1	h:2	f:1	medial	length=9|role=medial|left=h:2|right=f:1	no	yes	0.06666666666666667	3.9068905956085187	a:1	no
ATOMS	f2r	p005-m004	img5-m5	9	5	f:1	e:1	k:1	medial	length=9|role=medial|left=e:1|right=k:1	no	yes	0.06666666666666667	3.9068905956085187	a:1	no
ATOMS	f2r	p005-m004	img5-m5	9	6	k:1	f:1	f:1	medial	length=9|role=medial|left=f:1|right=f:1	no	yes	0.06666666666666667	3.9068905956085187	a:1	no
ATOMS	f2r	p005-m004	img5-m5	9	7	f:1	k:1	i:1	medial	length=9|role=medial|left=k:1|right=i:1	no	yes	0.06666666666666667	3.9068905956085187	a:1	no
ATOMS	f2r	p005-m004	img5-m5	9	8	i:1	f:1	d:1	medial	length=9|role=medial|left=f:1|right=d:1	yes	yes	0.17647058823529413	2.502500340529183	i:1	yes
ATOMS	f2r	p005-m005	img5-m6	13	2	a:1	c:1	e:1	medial	length=13|role=medial|left=c:1|right=e:1	yes	yes	0.15789473684210525	2.6629650127224296	a:1	yes
ATOMS	f2r	p005-m005	img5-m6	13	3	e:1	a:1	b:1	medial	length=13|role=medial|left=a:1|right=b:1	yes	yes	0.17647058823529413	2.502500340529183	e:1	yes
ATOMS	f2r	p005-m005	img5-m6	13	4	b:1	e:1	c:1	medial	length=13|role=medial|left=e:1|right=c:1	yes	yes	0.17647058823529413	2.502500340529183	b:1	yes
ATOMS	f2r	p005-m005	img5-m6	13	5	c:1	b:1	a:1	medial	length=13|role=medial|left=b:1|right=a:1	yes	yes	0.17647058823529413	2.502500340529183	c:1	yes
ATOMS	f2r	p005-m005	img5-m6	13	6	a:1	c:1	e:1	medial	length=13|role=medial|left=c:1|right=e:1	yes	yes	0.15789473684210525	2.6629650127224296	a:1	yes
ATOMS	f2r	p005-m005	img5-m6	13	7	e:1	a:1	g:1	medial	length=13|role=medial|left=a:1|right=g:1	no	yes	0.06666666666666667	3.9068905956085187	a:1	no
ATOMS	f2r	p005-m005	img5-m6	13	8	g:1	e:1	e:1	medial	length=13|role=medial|left=e:1|right=e:1	yes	yes	0.15789473684210525	2.6629650127224296	c:1	no
ATOMS	f2r	p005-m005	img5-m6	13	9	e:1	g:1	e:1	medial	length=13|role=medial|left=g:1|right=e:1	no	yes	0.06666666666666667	3.9068905956085187	a:1	no
