subset	representation	folio	line	region_id	relation_type	alignment_confidence	sequence_length	predicted_opportunities	corruptions	real_code_length_bits	median_corrupted_code_length_bits	mean_corrupted_code_length_bits	real_minus_median_corrupted_bits	real_minus_mean_corrupted_bits	real_better_than_median	real_better_than_all_corruptions	corrupted_better_count
medium	ATOMS	f2v	6	f2v-l6-r002	1:1	medium	10	8	100	21.40053792958373	31.085776551049463	30.668084852418918	-9.685238621465732	-9.267546922835187	yes	yes	0
medium	ATOMS	f2v	7	f2v-l7-r002	1:1	medium	13	11	100	45.25871324015921	44.629356620079605	44.62633473095905	0.629356620079605	0.6323785092001586	no	no	95
medium	ATOMS	f2v	7	f2v-l7-r004	1:1	medium	10	8	100	28.18784690943957	32.67073905177062	32.07089980922859	-4.482892142331046	-3.8830528997890212	yes	no	5
medium	ATOMS	f2v	8	f2v-l8-r002	1:1	medium	12	10	100	33.50977500432693	39.228818690495885	38.99175476288813	-5.719043686168952	-5.481979758561195	yes	no	1
medium	EVA	f2r	2	f2r-l2-r001	1:1	medium	8	6	100	25.48756508066151	25.48756508066151	25.48756508066158	0	-6.750155989720952e-14	no	no	0
medium	EVA	f2r	11	f2r-l11-r003	1:1	medium	3	1	100	4.247927513443585	4.247927513443585	4.247927513443585	0	0	no	no	0
medium	EVA	f2r	11	f2r-l11-r005	1:1	medium	5	3	100	13.032562359001105	12.743782540330756	12.465390720055794	0.2887798186703492	0.567171638945311	no	no	69
medium	EVA	f2v	3	f2v-l3-r001	1:1	medium	5	3	100	9.862637357558793	12.743782540330756	12.164832030687958	-2.881145182771963	-2.302194673129165	yes	no	0
medium	EVA	f2v	5	f2v-l5-r001	1:1	medium	5	3	100	10.841878797391995	12.743782540330756	12.394670873365122	-1.9019037429387602	-1.5527920759731266	yes	no	0
medium	EVA	f2v	6	f2v-l6-r002	1:1	medium	3	1	100	4.247927513443585	4.247927513443585	4.247927513443585	0	0	no	no	0
medium	EVA	f2v	7	f2v-l7-r002	1:1	medium	7	5	100	21.239637567217926	21.239637567217926	21.239637567217883	0	4.263256414560601e-14	no	no	0
