entity_type	entity_id	image_id	image_name	token	signature	atom_count	bounds_x	bounds_y	bounds_w	bounds_h	svg_path
atom	1881	3	page-003.jpg	c:1	c:1	1	2177	1072	53	53	atoms\c_1\page-003.jpg\1881.svg
atom	1883	3	page-003.jpg	e:1	e:1	1	2214	1068	47	52	atoms\e_1\page-003.jpg\1883.svg
atom	1882	3	page-003.jpg	c:1	c:1	1	2219	1048	52	52	atoms\c_1\page-003.jpg\1882.svg
atom	2096	3	page-003.jpg	h:2	h:2	1	2219	1050	45	68	atoms\h_2\page-003.jpg\2096.svg
atom	1884	3	page-003.jpg	e:1	e:1	1	2242	1069	47	52	atoms\e_1\page-003.jpg\1884.svg
atom	1886	3	page-003.jpg	f:1	f:1	1	2254	1070	45	53	atoms\f_1\page-003.jpg\1886.svg
atom	1887	3	page-003.jpg	f:1	f:1	1	2279	1075	42	51	atoms\f_1\page-003.jpg\1887.svg
atom	1888	3	page-003.jpg	i:1	i:1	1	2279	1034	57	74	atoms\i_1\page-003.jpg\1888.svg
atom	1889	3	page-003.jpg	d:1	d:1	1	2249	1026	77	42	atoms\d_1\page-003.jpg\1889.svg
atom	1885	3	page-003.jpg	e:1	e:1	1	2312	1071	47	52	atoms\e_1\page-003.jpg\1885.svg
atom	2002	3	page-003.jpg	h:1	h:1	1	2323	1071	50	72	atoms\h_1\page-003.jpg\2002.svg
atom	1019	3	page-003.jpg	e:1	e:1	1	1019	514	47	52	atoms\e_1\page-003.jpg\1019.svg
atom	1020	3	page-003.jpg	f:1	f:1	1	1031	515	45	53	atoms\f_1\page-003.jpg\1020.svg
atom	1021	3	page-003.jpg	f:1	f:1	1	1053	520	41	50	atoms\f_1\page-003.jpg\1021.svg
atom	1022	3	page-003.jpg	i:1	i:1	1	1056	492	48	64	atoms\i_1\page-003.jpg\1022.svg
atom	1024	3	page-003.jpg	d:1	d:1	1	1044	484	59	40	atoms\d_1\page-003.jpg\1024.svg
atom	1997	3	page-003.jpg	a:1	a:1	1	2246	1104	34	104	atoms\a_1\page-003.jpg\1997.svg
atom	1999	3	page-003.jpg	b:1	b:1	1	2246	1113	67	45	atoms\b_1\page-003.jpg\1999.svg
atom	1922	3	page-003.jpg	c:1	c:1	1	2262	1102	52	56	atoms\c_1\page-003.jpg\1922.svg
atom	1998	3	page-003.jpg	a:1	a:1	1	2263	1119	35	85	atoms\a_1\page-003.jpg\1998.svg
atom	1919	3	page-003.jpg	c:1	c:1	1	2284	1154	55	52	atoms\c_1\page-003.jpg\1919.svg
