image_name	row_index	unit_id	molecule_id	unit_index	atom_count	first_token	last_token	prefix2	suffix2	prev_molecule_id	prev_last_token	prev_suffix2	next_molecule_id	next_first_token	next_prefix2	signature
page-003.jpg	9	p003-u070	img3-m70	70	12	e:1	d:1	e:1 h:1	i:1 d:1	img3-m67	h:1	e:1 h:1	img3-m71	n:1	n:1 e:1	e:1 h:1 a:1 m:1 c:1 a:1 e:1 f:1 l:1 f:1 i:1 d:1
page-003.jpg	9	p003-u071	img3-m71	71	11	n:1	h:1	n:1 e:1	e:1 h:1	img3-m70	d:1	i:1 d:1	img3-m68	e:1	e:1 a:1	n:1 e:1 g:1 e:1 c:1 n:1 e:1 g:1 e:1 e:1 h:1
page-003.jpg	9	p003-u072	img3-m68	72	22	e:1	d:1	e:1 a:1	i:1 d:1	img3-m71	h:1	e:1 h:1				e:1 a:1 e:1 b:1 c:1 a:1 b:1 d:1 g:1 e:1 c:1 e:1 c:1 h:2 e:1 f:1 f:1 j:1 e:1 e:1 i:1 d:1
page-003.jpg	10	p003-u073	img3-m84	73	10	c:1	c:1	c:1 a:1	e:1 c:1				img3-m73	a:1	a:1 b:1	c:1 a:1 b:1 c:1 a:1 n:1 e:1 g:1 e:1 c:1
page-003.jpg	10	p003-u074	img3-m73	74	11	a:1	h:1	a:1 b:1	e:1 h:1	img3-m84	c:1	e:1 c:1	img3-m79	c:1	c:1 a:1	a:1 b:1 c:1 a:1 n:1 e:1 g:1 e:1 c:1 e:1 h:1
page-003.jpg	10	p003-u075	img3-m79	75	15	c:1	d:1	c:1 a:1	i:1 d:1	img3-m73	h:1	e:1 h:1	img3-m80	e:1	e:1 a:1	c:1 a:1 m:1 c:1 a:1 e:1 f:1 l:1 f:1 i:1 d:1 l:1 f:1 i:1 d:1
page-003.jpg	10	p003-u076	img3-m80	76	12	e:1	h:1	e:1 a:1	e:1 h:1	img3-m79	d:1	i:1 d:1	img3-m77	c:1	c:1 a:1	e:1 a:1 e:1 b:1 c:1 a:1 b:1 d:1 g:1 e:1 e:1 h:1
page-003.jpg	10	p003-u077	img3-m77	77	10	c:1	j:1	c:1 a:1	f:1 j:1	img3-m80	h:1	e:1 h:1	img3-m76	e:1	e:1 f:1	c:1 a:1 e:1 b:1 c:1 a:1 e:1 c:1 f:1 j:1
page-003.jpg	10	p003-u078	img3-m76	78	11	e:1	d:1	e:1 f:1	i:1 d:1	img3-m77	j:1	f:1 j:1	img3-m78	n:1	n:1 e:1	e:1 f:1 a:1 b:1 c:1 a:1 e:1 l:1 f:1 i:1 d:1
page-003.jpg	10	p003-u079	img3-m78	79	14	n:1	d:1	n:1 e:1	i:1 d:1	img3-m76	d:1	i:1 d:1	img3-m85	e:1	e:1 a:1	n:1 e:1 g:1 e:1 c:1 e:1 c:2 h:2 e:1 f:1 l:1 f:1 i:1 d:1
page-003.jpg	10	p003-u080	img3-m85	80	11	e:1	h:1	e:1 a:1	e:1 h:1	img3-m78	d:1	i:1 d:1	img3-m75	e:1	e:1 i:1	e:1 a:1 e:1 b:1 c:1 a:1 e:1 g:1 e:1 e:1 h:1
page-003.jpg	10	p003-u081	img3-m75	81	13	e:1	h:1	e:1 i:1	e:1 h:1	img3-m85	h:1	e:1 h:1	img3-m74	e:1	e:1 c:1	e:1 i:1 d:1 e:1 a:1 e:1 b:1 c:1 a:1 g:1 e:1 e:1 h:1
page-003.jpg	10	p003-u082	img3-m74	82	9	e:1	d:1	e:1 c:1	i:1 d:1	img3-m75	h:1	e:1 h:1				e:1 c:1 h:2 e:1 f:1 k:1 f:1 i:1 d:1
page-003.jpg	11	p003-u083	img3-m88	83	7	n:1	h:1	n:1 e:1	e:1 h:1				img3-m83	e:1	e:1 a:1	n:1 e:1 g:1 e:1 c:1 e:1 h:1
page-003.jpg	11	p003-u084	img3-m83	84	10	e:1	h:1	e:1 a:1	e:1 h:1	img3-m88	h:1	e:1 h:1	img3-m81	a:1	a:1 b:1	e:1 a:1 b:1 c:1 a:1 g:1 e:1 e:1 e:1 h:1
page-003.jpg	11	p003-u085	img3-m81	85	14	a:1	d:1	a:1 b:1	i:1 d:1	img3-m83	h:1	e:1 h:1	img3-m82	e:1	e:1 a:1	a:1 b:1 c:1 a:1 c:1 e:1 c:1 h:2 e:1 f:1 k:1 f:1 i:1 d:1
page-003.jpg	11	p003-u086	img3-m82	86	22	e:1	d:1	e:1 a:1	i:1 d:1	img3-m81	d:1	i:1 d:1	img3-m86	n:1	n:1 e:1	e:1 a:1 e:1 b:1 c:1 a:1 b:1 d:1 g:1 e:1 c:1 e:1 c:1 h:2 e:1 f:1 k:1 f:1 j:1 e:1 i:1 d:1
page-003.jpg	11	p003-u087	img3-m86	87	5	n:1	c:1	n:1 e:1	e:1 c:1	img3-m82	d:1	i:1 d:1	img3-m87	c:1	c:1 f:1	n:1 e:1 g:1 e:1 c:1
page-003.jpg	11	p003-u088	img3-m87	88	15	c:1	h:2	c:1 f:1	c:2 h:2	img3-m86	c:1	e:1 c:1				c:1 f:1 j:1 e:1 c:1 h:2 e:1 f:1 l:1 f:1 i:1 d:1 e:1 c:2 h:2
page-003.jpg	12	p003-u089	img3-m91	89	9	e:1	d:1	e:1 c:1	i:1 d:1				img3-m93	c:1	c:1 k:1	e:1 c:1 h:2 e:1 f:1 l:1 f:1 i:1 d:1
page-003.jpg	12	p003-u090	img3-m93	90	5	c:1	d:1	c:1 k:1	i:1 d:1	img3-m91	d:1	i:1 d:1	img3-m94	e:1	e:1 g:1	c:1 k:1 f:1 i:1 d:1
page-003.jpg	12	p003-u091	img3-m94	91	6	e:1	j:1	e:1 g:1	f:1 j:1	img3-m93	d:1	i:1 d:1	img3-m95	c:1	c:1 e:1	e:1 g:1 e:1 c:1 f:1 j:1
page-003.jpg	12	p003-u092	img3-m95	92	10	c:1	d:1	c:1 e:1	i:1 d:1	img3-m94	j:1	f:1 j:1	img3-m96	e:1	e:1 g:1	c:1 e:1 c:1 h:2 e:1 f:1 k:1 f:1 i:1 d:1
page-003.jpg	12	p003-u093	img3-m96	93	13	e:1	d:1	e:1 g:1	i:1 d:1	img3-m95	d:1	i:1 d:1	img3-m97	e:1	e:1 c:1	e:1 g:1 e:1 c:1 e:1 c:2 h:2 e:1 f:1 l:1 f:1 i:1 d:1
page-003.jpg	12	p003-u094	img3-m97	94	8	e:1	h:1	e:1 c:1	e:1 h:1	img3-m96	d:1	i:1 d:1	img3-m98	c:1	c:1 a:1	e:1 c:1 h:2 e:1 g:1 e:1 e:1 h:1
