macro_signature	count	share	examples
e:1 a:1 MEDIAL_OP c:1 a:1 MEDIAL_OP d:1 MEDIAL_OP e:1 e:1 h:1	1	0.0021	p005-u024
e:1 a:1 MEDIAL_OP c:1 a:1 MEDIAL_OP e:1 c:1 f:1 j:1 e:1 MEDIAL_OP d:1 e:1 h:1	1	0.0021	p005-u008
e:1 a:1 MEDIAL_OP c:1 a:1 MEDIAL_OP e:1 e:1 c:1 h:2 c:1 e:1 h:1	1	0.0021	p004-u016
e:1 a:1 MEDIAL_OP c:1 a:1 MEDIAL_OP e:1 e:1 c:1 h:2 e:1 h:1	1	0.0021	p094-u042
e:1 a:1 MEDIAL_OP c:1 a:1 MEDIAL_OP e:1 e:1 f:1 f:1 j:1	1	0.0021	p003-u158
e:1 a:1 MEDIAL_OP c:1 a:1 MEDIAL_OP e:1 e:1 f:1 MEDIAL_OP f:1 MEDIAL_OP d:1	1	0.0021	p003-u039
e:1 a:1 MEDIAL_OP c:1 a:1 MEDIAL_OP e:1 e:1 h:1 e:1 c:1 h:2 e:1 MEDIAL_OP	1	0.0021	p003-u133
e:1 c:1 h:2 a:1 MEDIAL_OP c:1 a:1 c:1 f:1 j:1	1	0.0021	p005-u037
e:1 c:1 h:2 a:1 MEDIAL_OP c:1 a:1 n:1 c:2 MEDIAL_OP e:1 e:1 e:1 e:1 h:1	1	0.0021	p004-u019
e:1 c:1 h:2 c:1 f:1 j:1 a:1 MEDIAL_OP c:1 a:1 e:1 h:1	1	0.0021	p004-u077
e:1 c:1 h:2 c:1 f:1 j:1 c:1	1	0.0021	p004-u059
e:1 c:1 h:2 c:1 f:1 j:1 e:1 MEDIAL_OP e:1 c:1 e:1 c:1 h:2 e:1 h:1	1	0.0021	p004-u061
e:1 c:1 h:2 c:1 f:1 MEDIAL_OP d:1 e:1 MEDIAL_OP e:1 c:1 f:1 MEDIAL_OP d:1 e:1 h:1	1	0.0021	p005-u009
e:1 c:1 h:2 c:1 MEDIAL_OP f:1 MEDIAL_OP d:1	1	0.0021	p003-u029
e:1 c:1 h:2 c:2 c:2 MEDIAL_OP e:1 c:1 f:1 MEDIAL_OP d:1	1	0.0021	p004-u080
e:1 c:1 h:2 c:2 MEDIAL_OP e:1 e:1 f:1 MEDIAL_OP f:1 MEDIAL_OP d:1	1	0.0021	p003-u196
e:1 c:1 h:2 e:1 c:1 h:2 e:1 c:1 h:2 e:1 h:1 e:1 h:1	1	0.0021	p003-u123
e:1 c:1 h:2 e:1 f:1 c:1 e:1 a:1 MEDIAL_OP c:1 a:1 MEDIAL_OP e:1 c:1	1	0.0021	p003-u139
e:1 c:1 h:2 e:1 f:1 f:1 j:1 c:1 f:1 MEDIAL_OP d:1	1	0.0021	p005-u084
e:1 c:1 h:2 e:1 f:1 f:1 j:1 d:1	1	0.0021	p094-u055
e:1 c:1 h:2 e:1 f:1 f:1 j:1 e:1 MEDIAL_OP d:1	1	0.0021	p005-u025
e:1 c:1 h:2 e:1 f:1 f:1 MEDIAL_OP d:1 e:1 f:1 l:1 f:1 MEDIAL_OP d:1	1	0.0021	p003-u131
e:1 c:1 h:2 e:1 f:1 f:1 MEDIAL_OP d:1 l:1 f:1 MEDIAL_OP d:1	1	0.0021	p005-u070
e:1 c:1 h:2 e:1 f:1 f:1 MEDIAL_OP f:1 MEDIAL_OP d:1	1	0.0021	p003-u146
e:1 c:1 h:2 e:1 f:1 l:1 f:1 j:1 d:1	1	0.0021	p094-u041
e:1 c:1 h:2 e:1 f:1 l:1 f:1 MEDIAL_OP d:1 e:1 c:1 h:2	1	0.0021	p005-u036
e:1 c:1 h:2 e:1 f:1 MEDIAL_OP e:1 c:1 h:2 e:1 h:1	1	0.0021	p094-u011
